Commodity,Year,Month,Price per Quintal
Maize,2020,January,2272.5
Maize,2020,February,2020.0
Maize,2020,March,2141.2
Maize,2020,April,2141.2
Maize,2020,May,2525.0
Maize,2020,June,2959.2999999999997
Maize,2020,August,2525.0
Maize,2020,December,3030.0
Maize,2021,January,2525.0
Maize,2021,February,2525.0
Maize,2021,March,2525.0
Maize,2021,May,2858.2999999999997
Maize,2021,June,2525.0
Maize,2021,July,2525.0
Maize,2021,August,2272.5
Maize,2021,September,2525.0
Maize,2021,October,2525.0
Maize,2021,November,2151.2999999999997
Maize,2021,December,2525.0
Maize,2022,January,2272.5
Maize,2022,March,2020.0
Maize,2022,April,2020.0
Maize,2022,May,2020.0
Maize,2022,June,2525.0
Maize,2022,July,2525.0
Maize,2022,October,2403.7999999999997
Maize,2022,November,2272.5
Maize,2022,December,2272.5
Maize,2023,January,2525.0
Maize,2023,February,1767.5
Maize,2023,March,2525.0
Maize,2023,April,2020.0
Maize,2023,May,2272.5
Maize,2023,July,2020.0
Maize,2023,August,2272.5
Maize,2023,October,2020.0
Maize,2023,December,2525.0
Maize,2024,February,2525.0
Maize,2024,April,2272.5
Maize,2024,May,2777.5
Maize,2024,June,2525.0
Maize,2024,July,2525.0
Maize,2024,August,2777.5
Maize,2024,September,2020.0
Maize,2024,October,2146.25
Maize,2024,November,2083.125
Maize,2024,December,2211.496
Maize,2025,January,2313.607
Maize,2025,February,2206.345
Maize,2025,March,2264.622
Maize,2025,April,2222.0
Maize,2025,May,2225.232
Millet,2020,January,3300.0
Millet,2020,February,3511.2
Millet,2020,March,2640.0
Millet,2020,April,2640.0
Millet,2020,May,3300.0
Millet,2020,June,3630.0
Millet,2020,September,3630.0
Millet,2020,October,3630.0
Millet,2020,November,3630.0
Millet,2020,December,3960.0
Millet,2021,January,3471.6
Millet,2021,February,3300.0
Millet,2021,March,3379.2
Millet,2021,May,3630.0
Millet,2021,June,3960.0
Millet,2021,July,3960.0
Millet,2021,August,3960.0
Millet,2021,September,3960.0
Millet,2021,October,3960.0
Millet,2021,November,3630.0
Millet,2021,December,3960.0
Millet,2022,January,3696.0
Millet,2022,March,3960.0
Millet,2022,April,3960.0
Millet,2022,May,3960.0
Millet,2022,June,3960.0
Millet,2022,July,3960.0
Millet,2022,October,3630.0
Millet,2022,November,3630.0
Millet,2022,December,3960.0
Millet,2023,January,3960.0
